Post ID,Timestamp (UTC),Created Date (UK),Created Date (US),Day created,Time created,Content,Total Reactions,Total Likes,Total Loves,Total Hahas,Total Wows,Total Sad,Total Angry,Total Comments,Total Shares,Post Type,Post URL
133847470017994_1840789809323743,Mon Aug 13 13:32:26 UTC 2018,13/08/2018,08/13/2018,Monday,13:32:26,LIKE if your pooch enjoys being pampered 🤣🐾💅,91,60,27,4,0,0,0,11,11,VIDEO,https://www.facebook.com/LADbible/videos/4875972822449869/
133847470017994_1837722332963824,Sat Aug 11 18:30:04 UTC 2018,11/08/2018,08/11/2018,Saturday,18:30:04,Maybe we should be more dog ?! 🙌,76,56,1,19,0,0,0,2,33,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1837722332963824/?type=3
133847470017994_1835173463218711,Fri Aug 10 09:15:58 UTC 2018,10/08/2018,08/10/2018,Friday,09:15:58,"☀️We are Rockingham Castle for the International Agility Festival Dog Agility - The Kennel Club UK ☀️ Stand 6 opposite ring 11! Bring your dog along for show offers, FREE prize draw and FREE friendly nutritional advice from 
Dr. Jacqueline Boyd, our Nutritional Consultant 🐾

This weekend we are also at Lowther Show, stand D17! Let's hope the rain stays away! ☔",35,32,2,0,1,1,0,2,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1835160629886661/?type=3
133847470017994_1833962180006506,Thu Aug 09 15:30:37 UTC 2018,09/08/2018,08/09/2018,Thursday,15:30:37,"📝 📩 Check out our latest Email News letter!📩  📝 

If you would like to receive our monthly newsletters, you can sign up on our website, just scroll to the bottom of the home page! 👇http://bit.ly/2hsOFb5",15,14,1,0,0,0,0,0,3,LINK,http://email.rubious.co.uk/t/r-02FE8B53F656349C2540EF23F30FEDED
133847470017994_1832499006819490,Wed Aug 08 18:30:48 UTC 2018,08/08/2018,08/08/2018,Wednesday,18:30:48,"#DogsOfTheWeek 'Molly, Coco & Pippa' 🐾 
Molly is fed on Field & Trial Puppy and Coco & Pippa enjoy Field & Trial Muesli. Muesli is packed full of energy and will tempt the fussiest of feeders!",39,34,5,0,0,0,0,4,7,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1832499006819490/?type=3
133847470017994_1829098763826181,Mon Aug 06 18:35:00 UTC 2018,06/08/2018,08/06/2018,Monday,18:35:00,🌈🍯Fergal wondering where the pot of gold is (and wishing it was actually full of Field & Trial Puppy!)🍯🌈,44,35,9,0,0,0,0,2,5,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1829098763826181/?type=3
133847470017994_1825796907489700,Sat Aug 04 18:30:17 UTC 2018,04/08/2018,08/04/2018,Saturday,18:30:17,COMMENT below the last picture on your phone you took of your dog! 😆,197,184,12,1,0,0,0,726,18,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1825796907489700/?type=3
133847470017994_1823400701062654,Fri Aug 03 10:25:04 UTC 2018,03/08/2018,08/03/2018,Friday,10:25:04,Happy Friday EveryPAWdy 🐾,58,35,11,11,1,1,0,7,8,VIDEO,https://www.facebook.com/LADbible/videos/4858083594238792/
133847470017994_1822412941161430,Thu Aug 02 18:30:29 UTC 2018,02/08/2018,08/02/2018,Thursday,18:30:29,"Dr Jacqueline Boyd, our in house Nutritional Consultant, looks at 'How to feed your dog well' – “The Good Dog-Feeding Guide”. Jackie highlights some key points for you to keep your dog in the best of health http://bit.ly/2O5F0Fw",17,14,3,0,0,0,0,0,13,LINK,https://bit.ly/2O5F0Fw
133847470017994_1820823921320332,Wed Aug 01 18:30:14 UTC 2018,01/08/2018,08/01/2018,Wednesday,18:30:14,"#DogOfTheWeek is 'Bob' who has been fed on Field & Trial Duck & Rice for the past 10 years.  Duck & Rice helps ease joints with its enhanced level of Glucosamine and Chondroitin- this is perfect for Bob, as he suffers from Arthritis 🐾",45,40,5,0,0,0,0,2,6,PHOTO,https://www.facebook.com/skinnerspetfood/photos/a.141172502618824.29246.133847470017994/1820823921320332/?type=3
